sweep,param,seed,tau_grok
dataset,7000,0,950.0
dataset,8000,1,1000.0
dataset,5000,1,2000.0
dataset,2000,1,
dataset,3000,2,6325.0
dataset,5000,0,3150.0
dataset,6000,0,1875.0
dataset,8000,0,975.0
dataset,4000,0,8050.0
dataset,7000,1,825.0
dataset,5000,2,3250.0
dataset,2000,2,46900.0
dataset,2000,0,
dataset,3000,0,16125.0
dataset,6000,2,2150.0
dataset,7000,2,1175.0
dataset,6000,1,900.0
dataset,4000,1,5425.0
dataset,8000,2,800.0
dataset,3000,1,8625.0
dataset,4000,2,4500.0
